"AFR" "EUR" "SAS" "EAS" "NAM" "Iterations" "Time" "MinValue" "Gnomadanc" "Exge"
"1" 0.824806268451566 0.155902849816267 0.00581525490631648 0.00534531057436682 0.00813031625148446 13 0.313132047653198 129.856962541471 "afr" "genome"
"2" 0.825432108859518 0.156348370730815 0.00487996397648864 0.00491951149026964 0.0084200449429084 12 0.278154850006104 130.767053904944 "afr" "genome"
"3" 0.824552064072313 0.15695660578996 0.00487838663451597 0.00532970030789682 0.00828324319531409 12 0.286839008331299 126.768762906639 "afr" "genome"
"4" 0.82456893662953 0.1566338191518 0.00505620571543842 0.00517119370966459 0.00856984479356633 12 0.27837085723877 129.749312360462 "afr" "genome"
"5" 0.82491778896597 0.15618008556273 0.0057247299112767 0.00462365033031342 0.00855374522971016 12 0.287792921066284 129.480791985854 "afr" "genome"
"6" 0.824853811267541 0.156797623535173 0.00494119711542358 0.00472435540073818 0.00868301268112476 12 0.289263963699341 125.760719719771 "afr" "genome"
"7" 0.823967722187391 0.157113139291386 0.00557178047297904 0.00491445506337328 0.00843290298487012 12 0.28325891494751 130.459905275901 "afr" "genome"
"8" 0.824744632823647 0.156746166214115 0.0052267834441879 0.00447836490060697 0.00880405261744368 11 0.264019966125488 128.989429632205 "afr" "genome"
"9" 0.825099984602415 0.156662324684127 0.00496588078578884 0.00504913829469541 0.00822267163297356 12 0.275815963745117 130.313611389159 "afr" "genome"
"10" 0.825181057503716 0.15670274696202 0.00459704327689518 0.00454638352341934 0.00897276873394977 12 0.285505056381226 130.147588323483 "afr" "genome"
"11" 0.825133496002902 0.156467047745249 0.00434319108099167 0.00588473874240767 0.00817152642845028 12 0.285538911819458 132.027385478259 "afr" "genome"
"12" 0.82454088550222 0.157489296178037 0.00446603863949114 0.00504320672227079 0.0084605729579813 12 0.285730123519897 129.781051997045 "afr" "genome"
"13" 0.825085386278436 0.156817573187702 0.00442592452406945 0.0052375091351947 0.00843360687459842 12 0.277863025665283 134.132167306497 "afr" "genome"
"14" 0.824630158434301 0.156303126282306 0.00584785201657312 0.00454549193262357 0.00867337133419595 12 0.285358905792236 128.932079405606 "afr" "genome"
"15" 0.824975568782691 0.156333103220687 0.00533856159760479 0.00484003750695645 0.00851272889206067 12 0.27894401550293 130.624576264007 "afr" "genome"
"16" 0.824485671466995 0.156631451329176 0.00498628208593319 0.005699687894221 0.00819690722367443 12 0.276044130325317 131.186527910089 "afr" "genome"
